Player,Position,Height (in),Weight (lbs),Date of Birth,League,GP,G,A,TP,Season,,First,Last,Name+1,Name+2,Input Array
Matyas Melovsky,F,73,190,05/25/2004,QMJHL,53,18,42,60,2023,,Matyas,Melovsky,,,"[""Matyas"",""Melovsky"",""F"",""QMJHL"",None,73,190,20.31,53,18,60,1.13,2024]"
Eric Pohlkamp,D,70,201,03/23/2004,NCAA,32,11,13,24,2023,,Eric,Pohlkamp,,,"[""Eric"",""Pohlkamp"",""D"",""NCAA"",None,70,201,20.48,32,11,24,0.75,2024]"
Jack Harvey,F,69,170,03/31/2003,NCAA,20,7,8,15,2023,,Jack,Harvey,,,"[""Jack"",""Harvey"",""F"",""NCAA"",None,69,170,21.46,20,7,15,0.75,2024]"
Oliver Bonk,D,74,180,01/09/2005,OHL,60,24,43,67,2023,,Oliver,Bonk,,,"[""Oliver"",""Bonk"",""D"",""OHL"",None,74,180,19.68,60,24,67,1.12,2024]"
Zam Plante,F,69,161,08/24/2004,USHL,57,26,45,71,2023,,Zam,Plante,,,"[""Zam"",""Plante"",""F"",""USHL"",None,69,161,20.06,57,26,71,1.25,2024]"
Maxim Massé,F,73,195,04/07/2006,QMJHL,67,36,39,75,2023,,Maxim,Massé,,,"[""Maxim"",""Massé"",""F"",""QMJHL"",None,73,195,18.44,67,36,75,1.12,2024]"
Ethan Gauthier,F,72,182,01/26/2005,QMJHL,64,36,35,71,2023,,Ethan,Gauthier,,,"[""Ethan"",""Gauthier"",""F"",""QMJHL"",None,72,182,19.64,64,36,71,1.11,2024]"
Adam Ingram,F,75,160,10/14/2003,NCAA,38,10,18,28,2023,,Adam,Ingram,,,"[""Adam"",""Ingram"",""F"",""NCAA"",None,75,160,20.92,38,10,28,0.74,2024]"
Austin Roest,F,70,181,01/22/2004,WHL,61,38,33,71,2023,,Austin,Roest,,,"[""Austin"",""Roest"",""F"",""WHL"",None,70,181,20.65,61,38,71,1.16,2024]"
Gracyn Sawchyn,F,71,157,01/19/2005,WHL,37,13,30,43,2023,,Gracyn,Sawchyn,,,"[""Gracyn"",""Sawchyn"",""F"",""WHL"",None,71,157,19.66,37,13,43,1.16,2024]"
Jett Luchanko,F,71,180,08/21/2006,OHL,68,20,54,74,2023,,Jett,Luchanko,,,"[""Jett"",""Luchanko"",""F"",""OHL"",None,71,180,18.07,68,20,74,1.09,2024]"
Andre Gasseau,F,76,205,07/03/2003,NCAA,40,12,17,29,2023,,Andre,Gasseau,,,"[""Andre"",""Gasseau"",""F"",""NCAA"",None,76,205,21.2,40,12,29,0.73,2024]"
Noah Powell,F,73,201,02/02/2005,USHL,61,43,31,74,2023,,Noah,Powell,,,"[""Noah"",""Powell"",""F"",""USHL"",None,73,201,19.62,61,43,74,1.21,2024]"
Cam Squires,F,72,165,04/11/2005,QMJHL,66,33,39,72,2023,,Cam,Squires,,,"[""Cam"",""Squires"",""F"",""QMJHL"",None,72,165,19.43,66,33,72,1.09,2024]"
Samu Tuomaala,F,70,174,01/08/2003,AHL,69,15,28,43,2023,,Samu,Tuomaala,,,"[""Samu"",""Tuomaala"",""F"",""AHL"",None,70,174,21.69,69,15,43,0.62,2024]"
Beckett Sennecke,F,75,190,01/28/2006,OHL,63,27,41,68,2023,,Beckett,Sennecke,,,"[""Beckett"",""Sennecke"",""F"",""OHL"",None,75,190,18.63,63,27,68,1.08,2024]"
Justin Ertel,F,74,192,05/27/2003,OHL,64,25,44,69,2023,,Justin,Ertel,,,"[""Justin"",""Ertel"",""F"",""OHL"",None,74,192,21.3,64,25,69,1.08,2024]"
Sam Rinzel,D,76,177,06/25/2004,NCAA,39,2,26,28,2023,,Sam,Rinzel,,,"[""Sam"",""Rinzel"",""D"",""NCAA"",None,76,177,20.22,39,2,28,0.72,2024]"
Alex Ciernik,F,71,176,10/08/2004,HockeyAllsvenskan,26,4,10,14,2023,,Alex,Ciernik,,,"[""Alex"",""Ciernik"",""F"",""HockeyAllsvenskan"",None,71,176,19.94,26,4,14,0.54,2024]"
Joe Connor,F,69,167,03/31/2005,USHL,50,31,29,60,2023,,Joe,Connor,,,"[""Joe"",""Connor"",""F"",""USHL"",None,69,167,19.46,50,31,60,1.2,2024]"
Carter Mazur,F,72,170,03/28/2002,AHL,60,17,20,37,2023,,Carter,Mazur,,,"[""Carter"",""Mazur"",""F"",""AHL"",None,72,170,22.46,60,17,37,0.62,2024]"
Jonathan Castagna,F,73,183,04/20/2005,NCAA,35,11,14,25,2023,,Jonathan,Castagna,,,"[""Jonathan"",""Castagna"",""F"",""NCAA"",None,73,183,19.4,35,11,25,0.71,2024]"
Kasper Halttunen,F,75,207,06/07/2005,OHL,57,32,29,61,2023,,Kasper,Halttunen,,,"[""Kasper"",""Halttunen"",""F"",""OHL"",None,75,207,19.27,57,32,61,1.07,2024]"
Joakim Kemell,F,71,182,04/27/2004,AHL,67,16,25,41,2023,,Joakim,Kemell,,,"[""Joakim"",""Kemell"",""F"",""AHL"",None,71,182,20.38,67,16,41,0.61,2024]"
Redmond Savage,F,71,180,05/15/2003,NCAA,38,10,17,27,2023,,Redmond,Savage,,,"[""Redmond"",""Savage"",""F"",""NCAA"",None,71,180,21.33,38,10,27,0.71,2024]"
Tanner Howe,F,70,183,11/28/2005,WHL,68,28,49,77,2023,,Tanner,Howe,,,"[""Tanner"",""Howe"",""F"",""WHL"",None,70,183,18.8,68,28,77,1.13,2024]"
Clarke Caswell,F,71,170,02/02/2006,WHL,68,26,51,77,2023,,Clarke,Caswell,,,"[""Clarke"",""Caswell"",""F"",""WHL"",None,71,170,18.62,68,26,77,1.13,2024]"
Axel Sandin-Pellikka,D,71,176,03/11/2005,SHL,39,10,8,18,2023,,Axel,Sandin-Pellikka,,,"[""Axel"",""Sandin-Pellikka"",""D"",""SHL"",None,71,176,19.51,39,10,18,0.46,2024]"
Nikita Prishchepov,F,73,194,02/20/2004,QMJHL,63,22,45,67,2023,,Nikita,Prishchepov,,,"[""Nikita"",""Prishchepov"",""F"",""QMJHL"",None,73,194,20.57,63,22,67,1.06,2024]"
Dylan Roobroeck,F,79,207,07/27/2004,OHL,68,26,46,72,2023,,Dylan,Roobroeck,,,"[""Dylan"",""Roobroeck"",""F"",""OHL"",None,79,207,20.13,68,26,72,1.06,2024]"
Sean Behrens,D,70,177,03/31/2003,NCAA,44,4,27,31,2023,,Sean,Behrens,,,"[""Sean"",""Behrens"",""D"",""NCAA"",None,70,177,21.46,44,4,31,0.7,2024]"
Ethan Cardwell,F,71,180,08/30/2002,AHL,71,23,20,43,2023,,Ethan,Cardwell,,,"[""Ethan"",""Cardwell"",""F"",""AHL"",None,71,180,22.04,71,23,43,0.61,2024]"
Ryan Ufko,D,72,174,05/07/2003,NCAA,37,10,16,26,2023,,Ryan,Ufko,,,"[""Ryan"",""Ufko"",""D"",""NCAA"",None,72,174,21.36,37,10,26,0.7,2024]"
Tanner Molendyk,D,71,190,02/03/2005,WHL,50,10,46,56,2023,,Tanner,Molendyk,,,"[""Tanner"",""Molendyk"",""D"",""WHL"",None,71,190,19.62,50,10,56,1.12,2024]"
Ryan Winterton,F,74,175,09/04/2003,AHL,58,22,13,35,2023,,Ryan,Winterton,,,"[""Ryan"",""Winterton"",""F"",""AHL"",None,74,175,21.03,58,22,35,0.6,2024]"
Tanner Ludtke,F,72,185,11/27/2004,NCAA,40,11,17,28,2023,,Tanner,Ludtke,,,"[""Tanner"",""Ludtke"",""F"",""NCAA"",None,72,185,19.8,40,11,28,0.7,2024]"
Mikhail Ilyin,F,72,181,02/15/2005,KHL,65,12,17,29,2023,,Mikhail,Ilyin,,,"[""Mikhail"",""Ilyin"",""F"",""KHL"",None,72,181,19.58,65,12,29,0.45,2024]"
Samuel Savoie,F,70,189,03/25/2004,QMJHL,21,10,12,22,2023,,Samuel,Savoie,,,"[""Samuel"",""Savoie"",""F"",""QMJHL"",None,70,189,20.47,21,10,22,1.05,2024]"
Andrei Loshko,F,73,173,10/07/2004,QMJHL,64,28,39,67,2023,,Andrei,Loshko,,,"[""Andrei"",""Loshko"",""F"",""QMJHL"",None,73,173,19.94,64,28,67,1.05,2024]"
Josh Davies,F,69,197,03/24/2004,WHL,55,36,25,61,2023,,Josh,Davies,,,"[""Josh"",""Davies"",""F"",""WHL"",None,69,197,20.48,55,36,61,1.11,2024]"
Austin Burnevik,F,76,195,01/03/2005,USHL,61,40,31,71,2023,,Austin,Burnevik,,,"[""Austin"",""Burnevik"",""F"",""USHL"",None,76,195,19.7,61,40,71,1.16,2024]"
Aydar Suniev,F,74,198,11/16/2004,NCAA,36,12,13,25,2023,,Aydar,Suniev,,,"[""Aydar"",""Suniev"",""F"",""NCAA"",None,74,198,19.83,36,12,25,0.69,2024]"
Miguel Marques,F,71,184,03/08/2006,WHL,67,28,46,74,2023,,Miguel,Marques,,,"[""Miguel"",""Marques"",""F"",""WHL"",None,71,184,18.52,67,28,74,1.1,2024]"
Brody Lamb,F,73,165,08/30/2003,NCAA,39,12,15,27,2023,,Brody,Lamb,,,"[""Brody"",""Lamb"",""F"",""NCAA"",None,73,165,21.04,39,12,27,0.69,2024]"
Liam Dower Nilsson,F,72,172,04/14/2003,HockeyAllsvenskan,52,12,15,27,2023,,Liam,Dower,Nilsson,,"[""Liam"",""Dower"",""F"",""HockeyAllsvenskan"",None,72,172,21.42,52,12,27,0.52,2024]"
Florian Xhekaj,F,75,195,06/27/2004,OHL,63,34,31,65,2023,,Florian,Xhekaj,,,"[""Florian"",""Xhekaj"",""F"",""OHL"",None,75,195,20.22,63,34,65,1.03,2024]"
Sam Dickinson,D,75,199,06/07/2006,OHL,68,18,52,70,2023,,Sam,Dickinson,,,"[""Sam"",""Dickinson"",""D"",""OHL"",None,75,199,18.27,68,18,70,1.03,2024]"
Rieger Lorenz,F,73,184,03/30/2004,NCAA,44,16,14,30,2023,,Rieger,Lorenz,,,"[""Rieger"",""Lorenz"",""F"",""NCAA"",None,73,184,20.46,44,16,30,0.68,2024]"
Aidan Thompson,F,71,180,02/18/2002,NCAA,44,11,19,30,2023,,Aidan,Thompson,,,"[""Aidan"",""Thompson"",""F"",""NCAA"",None,71,180,22.58,44,11,30,0.68,2024]"
Parker Bell,F,76,192,09/26/2003,WHL,59,33,31,64,2023,,Parker,Bell,,,"[""Parker"",""Bell"",""F"",""WHL"",None,76,192,20.97,59,33,64,1.08,2024]"
Angus MacDonell,F,70,183,05/11/2005,OHL,61,32,30,62,2023,,Angus,MacDonell,,,"[""Angus"",""MacDonell"",""F"",""OHL"",None,70,183,19.34,61,32,62,1.02,2024]"
James Reeder,F,70,168,10/06/2005,USHL,53,20,40,60,2023,,James,Reeder,,,"[""James"",""Reeder"",""F"",""USHL"",None,70,168,18.94,53,20,60,1.13,2024]"
Daniil Pylenkov,D,73,194,09/26/2000,KHL,67,7,22,29,2023,,Daniil,Pylenkov,,,"[""Daniil"",""Pylenkov"",""D"",""KHL"",None,73,194,23.97,67,7,29,0.43,2024]"
Shane Lachance,F,76,195,08/30/2003,NCAA,40,13,14,27,2023,,Shane,Lachance,,,"[""Shane"",""Lachance"",""F"",""NCAA"",None,76,195,21.04,40,13,27,0.68,2024]"
Carter Yakemchuk,D,75,209,09/29/2005,WHL,66,30,41,71,2023,,Carter,Yakemchuk,,,"[""Carter"",""Yakemchuk"",""D"",""WHL"",None,75,209,18.96,66,30,71,1.08,2024]"
Bogdan Konyushkov,D,71,176,12/20/2002,KHL,65,6,22,28,2023,,Bogdan,Konyushkov,,,"[""Bogdan"",""Konyushkov"",""D"",""KHL"",None,71,176,21.74,65,6,28,0.43,2024]"
Coulson Pitre,F,73,185,12/13/2004,OHL,55,27,28,55,2023,,Coulson,Pitre,,,"[""Coulson"",""Pitre"",""F"",""OHL"",None,73,185,19.76,55,27,55,1,2024]"
Sacha Boisvert,F,74,176,03/17/2006,USHL,61,36,32,68,2023,,Sacha,Boisvert,,,"[""Sacha"",""Boisvert"",""F"",""USHL"",None,74,176,18.49,61,36,68,1.11,2024]"
Nikita Artamonov,F,71,187,11/17/2005,KHL,54,7,16,23,2023,,Nikita,Artamonov,,,"[""Nikita"",""Artamonov"",""F"",""KHL"",None,71,187,18.83,54,7,23,0.43,2024]"
David Edstrom,F,75,185,02/18/2005,SHL,44,7,12,19,2023,,David,Edstrom,,,"[""David"",""Edstrom"",""F"",""SHL"",None,75,185,19.58,44,7,19,0.43,2024]"
Adam Engstrom,D,74,193,11/17/2003,SHL,51,4,18,22,2023,,Adam,Engstrom,,,"[""Adam"",""Engstrom"",""D"",""SHL"",None,74,193,20.83,51,4,22,0.43,2024]"
Fraser Minten,F,74,195,07/05/2004,WHL,36,19,19,38,2023,,Fraser,Minten,,,"[""Fraser"",""Minten"",""F"",""WHL"",None,74,195,20.19,36,19,38,1.06,2024]"
Felix Unger Sorum,F,72,184,09/14/2005,SHL,35,3,12,15,2023,,Felix,Unger,Sorum,,"[""Felix"",""Unger"",""F"",""SHL"",None,72,184,19,35,3,15,0.43,2024]"
Tom Willander,D,73,180,02/09/2005,NCAA,38,4,21,25,2023,,Tom,Willander,,,"[""Tom"",""Willander"",""D"",""NCAA"",None,73,180,19.6,38,4,25,0.66,2024]"
Hunter Haight,F,70,173,04/04/2004,OHL,68,25,42,67,2023,,Hunter,Haight,,,"[""Hunter"",""Haight"",""F"",""OHL"",None,70,173,20.45,68,25,67,0.99,2024]"
Trent Swick,F,79,214,04/25/2004,OHL,63,25,37,62,2023,,Trent,Swick,,,"[""Trent"",""Swick"",""F"",""OHL"",None,79,214,20.39,63,25,62,0.98,2024]"
Max McCue,F,73,182,02/10/2003,OHL,62,27,34,61,2023,,Max,McCue,,,"[""Max"",""McCue"",""F"",""OHL"",None,73,182,21.6,62,27,61,0.98,2024]"
Josh Filmon,F,73,158,03/18/2004,WHL,64,27,40,67,2023,,Josh,Filmon,,,"[""Josh"",""Filmon"",""F"",""WHL"",None,73,158,20.49,64,27,67,1.05,2024]"
Bryce McConnell-Barker,F,73,191,06/04/2004,OHL,52,22,29,51,2023,,Bryce,McConnell-Barker,,,"[""Bryce"",""McConnell-Barker"",""F"",""OHL"",None,73,191,20.28,52,22,51,0.98,2024]"
Colton Dach,F,76,196,01/04/2003,AHL,48,11,16,27,2023,,Colton,Dach,,,"[""Colton"",""Dach"",""F"",""AHL"",None,76,196,21.7,48,11,27,0.56,2024]"
Ty Mueller,F,71,185,02/26/2003,NCAA,40,11,15,26,2023,,Ty,Mueller,,,"[""Ty"",""Mueller"",""F"",""NCAA"",None,71,185,21.55,40,11,26,0.65,2024]"
Jacob Battaglia,F,73,196,03/17/2006,OHL,67,31,34,65,2023,,Jacob,Battaglia,,,"[""Jacob"",""Battaglia"",""F"",""OHL"",None,73,196,18.49,67,31,65,0.97,2024]"
Simon Edvinsson,D,78,209,02/05/2003,AHL,54,8,22,30,2023,,Simon,Edvinsson,,,"[""Simon"",""Edvinsson"",""D"",""AHL"",None,78,209,21.61,54,8,30,0.56,2024]"
Oscar Fisker Molgaard,F,72,168,02/18/2005,SHL,50,9,12,21,2023,,Oscar,Fisker,Molgaard,,"[""Oscar"",""Fisker"",""F"",""SHL"",None,72,168,19.58,50,9,21,0.42,2024]"
Rasmus Kumpulainen,F,74,191,08/08/2005,OHL,58,28,28,56,2023,,Rasmus,Kumpulainen,,,"[""Rasmus"",""Kumpulainen"",""F"",""OHL"",None,74,191,19.1,58,28,56,0.97,2024]"
Ty Nelson,D,69,195,03/30/2004,OHL,54,16,36,52,2023,,Ty,Nelson,,,"[""Ty"",""Nelson"",""D"",""OHL"",None,69,195,20.46,54,16,52,0.96,2024]"
Julius Miettinen,F,75,205,01/20/2006,WHL,66,31,36,67,2023,,Julius,Miettinen,,,"[""Julius"",""Miettinen"",""F"",""WHL"",None,75,205,18.65,66,31,67,1.02,2024]"
Ryan Walsh,F,72,180,08/25/2003,NCAA,35,12,10,22,2023,,Ryan,Walsh,,,"[""Ryan"",""Walsh"",""F"",""NCAA"",None,72,180,21.06,35,12,22,0.63,2024]"
Reese Laubach,F,71,167,11/20/2003,NCAA,35,10,12,22,2023,,Reese,Laubach,,,"[""Reese"",""Laubach"",""F"",""NCAA"",None,71,167,20.82,35,10,22,0.63,2024]"
Tyson Jugnauth,D,71,155,04/17/2004,WHL,41,7,34,41,2023,,Tyson,Jugnauth,,,"[""Tyson"",""Jugnauth"",""D"",""WHL"",None,71,155,20.41,41,7,41,1,2024]"
Henry Mews,D,72,181,03/09/2006,OHL,65,15,46,61,2023,,Henry,Mews,,,"[""Henry"",""Mews"",""D"",""OHL"",None,72,181,18.52,65,15,61,0.94,2024]"
Topias Vilen,D,73,194,04/01/2003,AHL,54,2,27,29,2023,,Topias,Vilen,,,"[""Topias"",""Vilen"",""D"",""AHL"",None,73,194,21.46,54,2,29,0.54,2024]"
Ethan Del Mastro,D,76,210,01/15/2003,AHL,69,7,30,37,2023,,Ethan,Del,Mastro,,"[""Ethan"",""Del"",""D"",""AHL"",None,76,210,21.67,69,7,37,0.54,2024]"
Sandis Vilmanis,F,73,192,01/23/2004,OHL,30,10,18,28,2023,,Sandis,Vilmanis,,,"[""Sandis"",""Vilmanis"",""F"",""OHL"",None,73,192,20.64,30,10,28,0.93,2024]"
Devin Kaplan,F,74,199,01/10/2004,NCAA,37,5,18,23,2023,,Devin,Kaplan,,,"[""Devin"",""Kaplan"",""F"",""NCAA"",None,74,199,20.68,37,5,23,0.62,2024]"
Luca Del Bel Belluz,F,73,185,11/10/2003,AHL,58,9,22,31,2023,,Luca,Del,Bel,Belluz,"[""Luca"",""Del"",""F"",""AHL"",None,73,185,20.85,58,9,31,0.53,2024]"
Carey Terrance,F,72,187,05/10/2005,OHL,56,29,23,52,2023,,Carey,Terrance,,,"[""Carey"",""Terrance"",""F"",""OHL"",None,72,187,19.35,56,29,52,0.93,2024]"
Ivan Miroshnichenko,F,73,185,02/04/2004,AHL,47,9,16,25,2023,,Ivan,Miroshnichenko,,,"[""Ivan"",""Miroshnichenko"",""F"",""AHL"",None,73,185,20.61,47,9,25,0.53,2024]"
Jaden Lipinski,F,76,204,12/02/2004,WHL,67,24,42,66,2023,,Jaden,Lipinski,,,"[""Jaden"",""Lipinski"",""F"",""WHL"",None,76,204,19.79,67,24,66,0.99,2024]"
Cole Beaudoin,F,74,209,04/24/2006,OHL,67,28,34,62,2023,,Cole,Beaudoin,,,"[""Cole"",""Beaudoin"",""F"",""OHL"",None,74,209,18.39,67,28,62,0.93,2024]"
Tomas Mrsic,F,71,170,02/26/2006,WHL,63,23,39,62,2023,,Tomas,Mrsic,,,"[""Tomas"",""Mrsic"",""F"",""WHL"",None,71,170,18.55,63,23,62,0.98,2024]"
Charles-Alexis Legault,D,76,215,09/05/2003,NCAA,39,9,15,24,2023,,Charles-Alexis,Legault,,,"[""Charles-Alexis"",""Legault"",""D"",""NCAA"",None,76,215,21.03,39,9,24,0.62,2024]"
Noah Dower Nilsson,F,72,174,04/25/2005,SHL,5,1,1,2,2023,,Noah,Dower,Nilsson,,"[""Noah"",""Dower"",""F"",""SHL"",None,72,174,19.39,5,1,2,0.4,2024]"
Kalan Lind,F,73,165,01/25/2005,WHL,46,16,29,45,2023,,Kalan,Lind,,,"[""Kalan"",""Lind"",""F"",""WHL"",None,73,165,19.64,46,16,45,0.98,2024]"
Michael Milne,F,71,185,09/21/2002,AHL,40,8,13,21,2023,,Michael,Milne,,,"[""Michael"",""Milne"",""F"",""AHL"",None,71,185,21.98,40,8,21,0.53,2024]"
Riley Patterson,F,72,192,03/22/2006,OHL,68,29,33,62,2023,,Riley,Patterson,,,"[""Riley"",""Patterson"",""F"",""OHL"",None,72,192,18.48,68,29,62,0.91,2024]"
Zaccharya Wisdom,F,72,175,04/29/2004,NCAA,33,10,10,20,2023,,Zaccharya,Wisdom,,,"[""Zaccharya"",""Wisdom"",""F"",""NCAA"",None,72,175,20.38,33,10,20,0.61,2024]"
Raoul Boilard,F,73,193,01/07/2006,QMJHL,68,22,40,62,2023,,Raoul,Boilard,,,"[""Raoul"",""Boilard"",""F"",""QMJHL"",None,73,193,18.69,68,22,62,0.91,2024]"
Oiva Keskinen,F,72,180,02/28/2004,Liiga,54,7,20,27,2023,,Oiva,Keskinen,,,"[""Oiva"",""Keskinen"",""F"",""Liiga"",None,72,180,20.55,54,7,27,0.5,2024]"
Michael Buchinger,D,71,178,04/25/2004,OHL,52,10,37,47,2023,,Michael,Buchinger,,,"[""Michael"",""Buchinger"",""D"",""OHL"",None,71,178,20.39,52,10,47,0.9,2024]"
Victor Stjernborg,F,70,202,05/22/2003,SHL,46,6,12,18,2023,,Victor,Stjernborg,,,"[""Victor"",""Stjernborg"",""F"",""SHL"",None,70,202,21.31,46,6,18,0.39,2024]"
Beckett Hendrickson,F,74,174,06/24/2005,USHL,43,18,25,43,2023,,Beckett,Hendrickson,,,"[""Beckett"",""Hendrickson"",""F"",""USHL"",None,74,174,19.23,43,18,43,1,2024]"
Emmitt Finnie,F,72,170,06/27/2005,WHL,62,19,40,59,2023,,Emmitt,Finnie,,,"[""Emmitt"",""Finnie"",""F"",""WHL"",None,72,170,19.22,62,19,59,0.95,2024]"
Oskar Olausson,F,73,180,11/10/2002,AHL,39,11,9,20,2023,,Oskar,Olausson,,,"[""Oskar"",""Olausson"",""F"",""AHL"",None,73,180,21.85,39,11,20,0.51,2024]"
Daniil But,F,77,203,02/15/2005,KHL,55,10,11,21,2023,,Daniil,But,,,"[""Daniil"",""But"",""F"",""KHL"",None,77,203,19.58,55,10,21,0.38,2024]"
Nathan Villeneuve,F,71,199,04/13/2006,OHL,56,23,27,50,2023,,Nathan,Villeneuve,,,"[""Nathan"",""Villeneuve"",""F"",""OHL"",None,71,199,18.42,56,23,50,0.89,2024]"
Kenny Connors,F,73,199,03/10/2003,NCAA,37,7,15,22,2023,,Kenny,Connors,,,"[""Kenny"",""Connors"",""F"",""NCAA"",None,73,199,21.51,37,7,22,0.59,2024]"
Samuel Honzek,F,76,186,11/12/2004,WHL,33,10,21,31,2023,,Samuel,Honzek,,,"[""Samuel"",""Honzek"",""F"",""WHL"",None,76,186,19.84,33,10,31,0.94,2024]"
Cooper Foster,F,71,175,06/04/2005,OHL,59,21,31,52,2023,,Cooper,Foster,,,"[""Cooper"",""Foster"",""F"",""OHL"",None,71,175,19.28,59,21,52,0.88,2024]"
Ryder Ritchie,F,72,175,08/03/2006,WHL,47,19,25,44,2023,,Ryder,Ritchie,,,"[""Ryder"",""Ritchie"",""F"",""WHL"",None,72,175,18.12,47,19,44,0.94,2024]"
Christopher Pelosi,F,73,181,03/06/2005,USHL,56,21,34,55,2023,,Christopher,Pelosi,,,"[""Christopher"",""Pelosi"",""F"",""USHL"",None,73,181,19.53,56,21,55,0.98,2024]"
Michael Brandsegg-Nygård,F,73,198,10/05/2005,HockeyAllsvenskan,41,8,10,18,2023,,Michael,Brandsegg-Nygård,,,"[""Michael"",""Brandsegg-Nygård"",""F"",""HockeyAllsvenskan"",None,73,198,18.94,41,8,18,0.44,2024]"
Eriks Mateiko,F,77,208,11/18/2005,QMJHL,49,23,20,43,2023,,Eriks,Mateiko,,,"[""Eriks"",""Mateiko"",""F"",""QMJHL"",None,77,208,18.83,49,23,43,0.88,2024]"
Zack Bolduc,F,72,187,02/24/2003,AHL,50,8,17,25,2023,,Zack,Bolduc,,,"[""Zack"",""Bolduc"",""F"",""AHL"",None,72,187,21.56,50,8,25,0.5,2024]"
Sasha Pastujov,F,72,190,07/15/2003,AHL,46,10,13,23,2023,,Sasha,Pastujov,,,"[""Sasha"",""Pastujov"",""F"",""AHL"",None,72,190,21.17,46,10,23,0.5,2024]"
Jaroslav Chmelar,F,76,226,07/20/2003,NCAA,26,5,10,15,2023,,Jaroslav,Chmelar,,,"[""Jaroslav"",""Chmelar"",""F"",""NCAA"",None,76,226,21.15,26,5,15,0.58,2024]"
Marco Kasper,F,73,183,04/08/2004,AHL,71,14,21,35,2023,,Marco,Kasper,,,"[""Marco"",""Kasper"",""F"",""AHL"",None,73,183,20.44,71,14,35,0.49,2024]"
Kaden Pitre,F,72,180,02/08/2006,OHL,35,10,20,30,2023,,Kaden,Pitre,,,"[""Kaden"",""Pitre"",""F"",""OHL"",None,72,180,18.6,35,10,30,0.86,2024]"
Viktor Neuchev,F,74,165,10/25/2003,AHL,57,11,17,28,2023,,Viktor,Neuchev,,,"[""Viktor"",""Neuchev"",""F"",""AHL"",None,74,165,20.89,57,11,28,0.49,2024]"
Jeremy Hanzel,D,73,205,02/27/2003,WHL,66,17,43,60,2023,,Jeremy,Hanzel,,,"[""Jeremy"",""Hanzel"",""D"",""WHL"",None,73,205,21.55,66,17,60,0.91,2024]"
Jared Wright,F,73,178,11/22/2002,NCAA,44,15,10,25,2023,,Jared,Wright,,,"[""Jared"",""Wright"",""F"",""NCAA"",None,73,178,21.81,44,15,25,0.57,2024]"
Luca Marrelli,D,73,181,10/04/2005,OHL,67,6,51,57,2023,,Luca,Marrelli,,,"[""Luca"",""Marrelli"",""D"",""OHL"",None,73,181,18.95,67,6,57,0.85,2024]"
Connor Kurth,F,71,215,07/30/2003,NCAA,37,7,14,21,2023,,Connor,Kurth,,,"[""Connor"",""Kurth"",""F"",""NCAA"",None,71,215,21.13,37,7,21,0.57,2024]"
Noah Steen,F,73,187,08/16/2004,HockeyAllsvenskan,40,14,3,17,2023,,Noah,Steen,,,"[""Noah"",""Steen"",""F"",""HockeyAllsvenskan"",None,73,187,20.08,40,14,17,0.43,2024]"
Roman Schmidt,D,77,218,02/27/2003,OHL,33,8,20,28,2023,,Roman,Schmidt,,,"[""Roman"",""Schmidt"",""D"",""OHL"",None,77,218,21.55,33,8,28,0.85,2024]"
Ville Ottavainen,D,77,210,08/12/2002,AHL,70,8,26,34,2023,,Ville,Ottavainen,,,"[""Ville"",""Ottavainen"",""D"",""AHL"",None,77,210,22.09,70,8,34,0.49,2024]"
Maveric Lamoureux,D,78,196,01/13/2004,QMJHL,39,9,24,33,2023,,Maveric,Lamoureux,,,"[""Maveric"",""Lamoureux"",""D"",""QMJHL"",None,78,196,20.67,39,9,33,0.85,2024]"
Etienne Morin,D,72,180,03/09/2005,QMJHL,58,12,37,49,2023,,Etienne,Morin,,,"[""Etienne"",""Morin"",""D"",""QMJHL"",None,72,180,19.52,58,12,49,0.84,2024]"
Simon Forsmark,D,74,191,10/17/2003,SHL,52,6,13,19,2023,,Simon,Forsmark,,,"[""Simon"",""Forsmark"",""D"",""SHL"",None,74,191,20.91,52,6,19,0.37,2024]"
Brett Hyland,F,72,170,02/18/2003,WHL,66,32,27,59,2023,,Brett,Hyland,,,"[""Brett"",""Hyland"",""F"",""WHL"",None,72,170,21.58,66,32,59,0.89,2024]"
John Mustard,F,73,180,08/16/2006,USHL,60,29,27,56,2023,,John,Mustard,,,"[""John"",""Mustard"",""F"",""USHL"",None,73,180,18.08,60,29,56,0.93,2024]"
Caden Price,D,73,185,08/24/2005,WHL,62,13,42,55,2023,,Caden,Price,,,"[""Caden"",""Price"",""D"",""WHL"",None,73,185,19.06,62,13,55,0.89,2024]"
Cole Knuble,F,70,184,07/01/2004,NCAA,36,9,11,20,2023,,Cole,Knuble,,,"[""Cole"",""Knuble"",""F"",""NCAA"",None,70,184,20.21,36,9,20,0.56,2024]"
Filip Bystedt,F,74,187,02/04/2004,SHL,47,8,9,17,2023,,Filip,Bystedt,,,"[""Filip"",""Bystedt"",""F"",""SHL"",None,74,187,20.61,47,8,17,0.36,2024]"
Nico Myatovic,F,74,195,12/01/2004,WHL,34,9,21,30,2023,,Nico,Myatovic,,,"[""Nico"",""Myatovic"",""F"",""WHL"",None,74,195,19.79,34,9,30,0.88,2024]"
